sample,VisualFidelity,Contrastiveness,VFxContrastiveness,"Min(VF,Contrast)","Avg(VF,Contrast)",Support,Informative,Commonsense_Plausibility,mean_ece
34,0.4045714285714286,0.2436952651648902,0.1851883617736429,0.19499740185777487,0.3000335530314993,0.3527152057098311,0.5,0.14249475809745488,0.3161000822559394
35,0.4285,0.27173367891139016,0.23080967490091234,0.2404718874001263,0.32728342749596784,0.29124609288878445,0.5,0.1161026445310563,0.342505702135786
36,0.44030952380952376,0.2728134436811307,0.20426811194710154,0.23199429216085846,0.3057290230962335,0.3336022532775843,0.5,0.13400295856408775,0.33961733019562934
37,0.3875,0.29043758169215095,0.19498147584174874,0.21867971502736594,0.3193657253669968,0.3492594348189908,0.5,0.12188502997159958,0.3324344356863826
38,0.40169047619047615,0.29554639985499015,0.2093983523085655,0.22863897696668933,0.3436087296622211,0.3358741048146362,0.5,0.14108450192026797,0.34694853523589586
39,0.3974761904761905,0.24870393308941896,0.16645522669052754,0.1847206413510715,0.30925112054236414,0.25852699296784976,0.5,0.1552900828700513,0.31847708136932457
40,0.4086666666666666,0.257506615366392,0.18212397038366576,0.2113915045286604,0.30409308697960546,0.32222833900837883,0.5,0.13478435846976936,0.32342212300422135
41,0.43708333333333327,0.29382203501973025,0.19480078494230477,0.23190845036860608,0.3092329836885647,0.35174490488421273,0.5,0.1606610031425953,0.3467127840138761
42,0.42266666666666675,0.22172036131523207,0.1482338238048548,0.16408335610331629,0.302877670041868,0.25981560524188635,0.5,0.13448984056711197,0.3157548993412556
43,0.42614285714285716,0.3047836545700379,0.24567598273591745,0.2551038619587502,0.32182674398678635,0.290992150774278,0.5,0.17800162258557975,0.3509177518998938
44,0.40416666666666656,0.23134461984285848,0.15828189745347615,0.17188751592720986,0.2945498536847366,0.2672164054719957,0.5,0.10516776028089225,0.31002038006475385
45,0.3945952380952381,0.25834252445695627,0.1858763042029416,0.1968686522998666,0.30473304492134135,0.3899735746405122,0.5,0.12368147972039882,0.3192236024911786
46,0.40369047619047616,0.26717870375994773,0.20085153108242396,0.21148816840390275,0.31127118658346914,0.3301847101035725,0.5,0.12618010493926704,0.32738012217796436
47,0.4238095238095238,0.2493670490887297,0.1972053255300642,0.20175156670051528,0.30890258031403656,0.2515573688294376,0.5,0.12052054497413338,0.32735971773743006
48,0.39399999999999996,0.2602331450126048,0.19997876895445463,0.19497365325876775,0.3092021252886088,0.3228561586279949,0.5,0.21541574033908545,0.32114509010040454
49,0.40214285714285714,0.30252252115649814,0.2436789436965588,0.2546834968944295,0.3415672520362329,0.3491770128605708,0.5,0.1321362760663032,0.34874421011186274
50,0.4135952380952381,0.2189300012119304,0.15512325841882033,0.1760515504916892,0.2968816190752221,0.263331861718371,0.5,0.14627044320106505,0.3098022861274636
